iter	Passed	Remaining
1121	334150	112574
1122	334470	112284
1123	334782	111991
1124	335151	111717
1125	335461	111423
1126	335780	111132
1127	336079	110834
1128	336358	110530
1129	336665	110235
1130	336962	109937
1131	337299	109652
1132	337606	109357
1133	337913	109062
1134	338229	108769
1135	338525	108471
1136	338831	108175
1137	339135	107879
1138	339475	107594
1139	339763	107293
1140	340061	106995
1141	340382	106704
1142	340698	106412
1143	341017	106120
1144	341316	105823
1145	341626	105528
1146	341927	105231
1147	342232	104935
1148	342538	104639
1149	342876	104353
1150	343183	104058
1151	343551	103781
1152	343859	103485
1153	344165	103190
1154	344469	102893
1155	344772	102596
1156	345091	102304
1157	345417	102014
1158	345723	101718
1159	346042	101426
1160	346356	101132
1161	346660	100835
1162	346961	100538
1163	347263	100240
1164	347594	99952
1165	347966	99674
1166	348269	99377
1167	348579	99082
1168	348885	98786
1169	349191	98490
1170	349491	98191
1171	349798	97895
1172	350125	97605
1173	350429	97308
1174	350739	97013
1175	351046	96716
1176	351361	96422
1177	351665	96125
1178	351984	95832
1179	352356	95554
1180	352677	95261
1181	352979	94963
1182	353284	94667
1183	353595	94371
1184	353903	94075
1185	354224	93782
1186	354533	93486
1187	354870	93198
1188	355174	92900
1189	355478	92603
1190	355786	92307
1191	356095	92011
1192	356466	91731
1193	356777	91435
1194	357087	91139
1195	357410	90846
1196	357723	90551
1197	358030	90254
1198	358337	89957
1199	358636	89659
1200	358947	89363
1201	359268	89069
1202	359583	88774
1203	359891	88478
1204	360195	88180
1205	360538	87892
1206	360863	87599
1207	361169	87302
1208	361476	87005
1209	361782	86708
1210	362109	86415
1211	362414	86118
1212	362725	85822
1213	363041	85526
1214	363342	85228
1215	363642	84929
1216	363956	84634
1217	364262	84336
1218	364581	84042
1219	364944	83757
1220	365257	83461
1221	365564	83164
1222	365869	82866
1223	366171	82568
1224	366474	82269
1225	366806	81978
1226	367106	81679
1227	367429	81385
1228	367745	81089
1229	368050	80791
1230	368356	80493
1231	368665	80196
1232	368994	79903
1233	369356	79618
1234	369660	79319
1235	369961	79020
1236	370274	78724
1237	370575	78425
1238	370887	78128
1239	371192	77830
1240	371514	77536
1241	371842	77242
1242	372154	76945
1243	372456	76646
1244	372764	76349
1245	373074	76052
1246	373454	75768
1247	373753	75469
1248	374079	75175
1249	374386	74877
